순번,단지명,회사명,대표자명,공장대표주소(지번),대표업종번호,업종명,전화번호,생산품,용지면적,건축면적,위도,경도
568,,대신석물,황인○,경상북도 영천시 북안면 송포리 388번지,23919,기타 석제품 제조업,054-0336-0123,석재,3333,493.38,35.94263972,128.97171174
569,,대신석물(주),이분○,경상북도 영천시 북안면 송포리 386번지,23919,기타 석제품 제조업,054-0333-4477,건축용자재,1320,334.08,35.94279936,128.97195843
570,,대아아스콘(주),"오태○,오상○",경상북도 영천시 고경면 삼산리 148번지 외 10필지,23991,아스팔트 콘크리트 및 혼합제품 제조업,054-0337-1448,아스콘,6706,1074.47,35.99515814,129.08972156
571,,대양산업,김무○,경상북도 영천시 대창면 강회리 75-1번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-7797,플라스틱재생원료,2976,1306.35,35.88763651,128.88113272
572,,대양산업,"유은○,최한○",경상북도 영천시 청통면 계포리 349-1번지,13922,어망 및 기타 끈 가공품 제조업,054-701-1300,조개망,1834,499.05,35.99810941,128.81491095
573,영천고경농공단지,대양섬유,백종○,경상북도 영천시 고경면 상리리 600-1번지,13213,화학섬유직물 직조업,054-336-6500,스크린샤,,996,36.00473558,129.02831268
574,영천도남농공단지,대양케미칼(주),김무○,경상북도 영천시 봉동 644,20203,혼성 및 재생 플라스틱 소재 물질 제조업,,폴리에스테르,3314.4,1594.88,35.92958562,128.94554617
575,,대연에스이(주),변유○,경상북도 영천시 화산면 덕암리 98-7,25112,구조용 금속 판제품 및 공작물 제조업,054-701-1668,바닥재(철강재) 주차장 바닥재 등,6838,1608.5,36.03047187,128.83934900
576,,대영정공,강유○,경상북도 영천시 금호읍 삼호리 111번지,25112,구조용 금속 판제품 및 공작물 제조업,,"금속벽면부분품,금속지붕부분품",1693,502,35.91294600,128.88184240
577,,대영정밀,이종○,경상북도 영천시 화산면 덕암리 98-5,30399,그 외 자동차용 신품 부품 제조업,054-706-7444,"자동차부품 (차체, 시트)",6639,1877.65,36.02964304,128.83986733
578,,대옹하이텍,이기○,경상북도 영천시 대창면 사리리 산 48-7 외 3필지,29293,주형 및 금형 제조업,054-332-2014,금형,1644,494.4,,
579,,대왕전기공사,김창○,경상북도 영천시 매산동 1492-50,26429,기타 무선 통신장비 제조업 외 3 종,054-334-7545,"원격단말장치(RTU), 원격단말장치(제어반등), 원격단말장치(제어장치등), 원격단말장치(제어장비등)",,378,36.01577696,128.92502989
580,,대우산업,"정말○,조구○",경상북도 영천시 청통면 계포리  239-17 외 1필지,22299,그 외 기타 플라스틱 제품 제조업,054-331-0578,농자재,1783,692.7,35.99653903,128.81787933
581,,대우양행,정말○,경상북도 영천시 청통면 계포리  246-4 외 2필지,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-331-0578,농사용 호스(파이프),1695,360,35.99636778,128.81716405
582,,대운,신현○,경상북도 영천시 금호읍 구암리 404-2,22299,그 외 기타 플라스틱 제품 제조업,054-333-7350,부직포 및 플라스틱제품,,500,35.91487751,128.93868360
583,,대운산업,이일○,경상북도 영천시 신녕면 신덕리 308-1번지,17211,골판지 제조업 외 1 종,054-0331-9960,종이앵글,2755,1092.5,36.03859528,128.80651527
584,,대운철강,김승○,경상북도 영천시 오미동 1157-1 외 3필지,25113,육상 금속 골조 구조재 제조업,054-331-0600,"비가림 아치대·지주대, 하우스 아치대",4649,993,35.98834215,128.92446197
585,,대원스치로폴,김상○,경상북도 영천시 대창면 사리리 447-3번지,22251,폴리스티렌 발포 성형제품 제조업,054-335-9000,발포폴리스티렌보온재,3875,1752.4,35.88197556,128.87135905
586,,대유스틸,이종○,경상북도 영천시 청통면 우천리 997-13번지 외 2필지,24199,그 외 기타 1차 철강 제조업,,C-형강,6866,1968,35.98865807,128.86280687
587,,대일마블,조수○,경상북도 영천시 대창면 구지리 11번지 외 1필지,22241,운송장비 조립용 플라스틱제품 제조업 외 1 종,054-0335-3197,"욕조,세면대",1650,581,35.87249974,128.89040191
588,,대정건설기계(주),권영○,경상북도 영천시 고경면 학리 488번지 외 2필지,29163,컨베이어장치 제조업 외 1 종,054-336-7746,리프트,3450,436.8,36.01354557,129.03965887
589,,대진정공,김후○,경상북도 영천시 금호읍 오계리 34-2번지 (주)세미머티리얼즈 외 4필지,29293,주형 및 금형 제조업,053-358-6810,자동차부품(금형제품),6760,1997.2,35.91607797,128.89059752
590,,대진케미칼,진선○,경상북도 영천시 신기동 185번지,20203,혼성 및 재생 플라스틱 소재 물질 제조업,054-335-0093,재생수지 칩,3340,479.6,35.99679734,128.95691916
591,,대창기업,이익○,경상북도 영천시 고경면 상리리 328번지 외 1필지,25932,일반철물 제조업,054-336-4419,도로안전시설물,2221,465.28,36.01217307,129.03360531
592,,대풍섬유,하종○,경상북도 영천시 대창면 사리리 303번지,13219,특수 직물 및 기타 직물 직조업,,폴리에스텔직물,2602,1116.63,35.87761524,128.87474089
593,,대하F.R.P.산업,허용○,경상북도 영천시 임고면 매호리 856,22222,설치용 및 위생용 플라스틱제품 제조업 외 1 종,054-335-4818,"FRP 물탱크, 패널조립식구조물",,330.25,36.00197440,128.96393673
594,,대한정공,김해○,경상북도 영천시 임고면 매호리 918-1번지,29293,주형 및 금형 제조업,054-333-7994,금형(자동차부품용),1627,493.2,36.00926525,128.96041730
595,,대한한약협동조합,한상○,경상북도 영천시 화남면 삼창리 644번지 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,,가공식품(한약재),4351,1280.23,36.07417167,128.89292356
596,,대혁농산,윤정○,경상북도 영천시 청통면 계지리 622-3번지 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,054-0331-0157,깐마늘,1628,402,36.01923370,128.80381640
597,,대호산업,홍승○,경상북도 영천시 대창면 사리리 724번지,29269,"기타 섬유, 의복 및 가죽 가공 기계 제조업",054-335-6722,섬유기계,1453,522,35.87082129,128.86564347
598,,대호산업,박효○,경상북도 영천시 대창면 사리리 47번지,20493,접착제 및 젤라틴 제조업,054-335-6722,접착제,3416,957.72,35.88322982,128.87337544
599,,덕구섬유,오진○,경상북도 영천시 금호읍 신대리 332-2번지,13213,화학섬유직물 직조업,054-0336-6789,나일론직물,3363,2081.97,35.92454462,128.86782299
600,,덕산이앤지,권순○,경상북도 영천시 청통면 송천리 715번지,29299,그 외 기타 특수목적용 기계 제조업 외 1 종,054-706-7530,자동화기계,3765,1077.9,35.98139069,128.80788297
601,,덕수산업,이준○,경상북도 영천시 임고면 양평리 495번지,20411,일반용 도료 및 관련제품 제조업,054-0336-2865,"락카,에어졸",2350,595.34,36.02523212,128.99031588
602,,도운섬유,"권영○,김영○",경상북도 영천시 청통면 우천리 553-1번지,13219,특수 직물 및 기타 직물 직조업,054-338-8700,스크린샤,2370,1209.2,35.98023301,128.86703521
603,,도일상회,도영○,경상북도 영천시 고경면 고도리 480번지,14419,기타 편조의복 액세서리 제조업,,장갑,1355,280.48,35.98146902,128.99994891
604,,도현산업,배옥○,경상북도 영천시 채신동 133-1번지 외 1필지,25113,육상 금속 골조 구조재 제조업,,철구조물,1395,504.11,35.90374507,128.95459873
605,,동강산업,박종○,경상북도 영천시 대창면 사리리 320-23,30320,자동차 차체용 신품 부품 제조업 외 2 종,,"크레인부품(차체 프레임), 내부 격벽(기계, 선박)",1000,370.6,35.87836346,128.87775319
606,,동광석재·석물,박순○,경상북도 영천시 도동 585-4번지,23911,건설용 석제품 제조업,054-333-8675,석물,992,145.9,35.94353266,128.92563394
607,,동극중공업(주),엄도○,경상북도 영천시 대창면 어방리 244-1번지 외 1필지,25113,육상 금속 골조 구조재 제조업,054-339-0097,"기계제관,열간,냉간제품",16854,3300,35.86325352,128.93072312
608,,동근산업,이상○,경상북도 영천시 청통면 송천리 350번지,13213,화학섬유직물 직조업,054-0335-0990,화섬직물,1738,939.24,35.97566184,128.81691674
609,,동도엔지니어링,이종○,경상북도 영천시 청통면 송천리 5-16번지,25924,절삭가공 및 유사처리업,054-335-0734,"노즐, 금형부분품",1350,550.24,35.96503974,128.82101602
610,,동림섬유,김항○,경상북도 영천시 임고면 양평리 494-1번지 외 1필지,13104,연사 및 가공사 제조업,054-0335-9698,연사,1427.84,803.72,36.02526487,128.99088822
611,,동민산업협동조합,강원○,경상북도 영천시 금호읍 오계리 65-1번지,22213,플라스틱 시트 및 판 제조업 외 2 종,,"시트지, 손가방, 나무의자",1969,1338,35.91337410,128.89101344
612,,동민섬유,신현○,경상북도 영천시 임고면 매호리 918-8번지,13104,연사 및 가공사 제조업,054-0335-4992,니트원단및 연사,1402,1364.86,36.00909034,128.96066354
613,,동방TECH,김인○,경상북도 영천시 대창면 사리리 23번지,29199,그 외 기타 일반목적용 기계 제조업 외 1 종,054-336-9821,자동차 용접지그,800,316.16,35.88523048,128.87205491
614,,동방가로시설(주),"권명○,김오○",경상북도 영천시 대창면 대창리 1076-1번지 외 2필지,25112,구조용 금속 판제품 및 공작물 제조업 외 4 종,054-336-3350,"휀스,교량난간,가로등주,경관조명기구,금속기둥,바닥형보행신호등 외",1548,490,35.88601705,128.88903843
615,,동방산업,이자○,경상북도 영천시 대창면 대창리 208번지,22211,"플라스틱 선, 봉, 관 및 호스 제조업",,농업용호스,3307,1022.6,35.88825015,128.89575355
616,,동방알미늄,유종○,경상북도 영천시 대창면 용전리 518번지,25112,구조용 금속 판제품 및 공작물 제조업,054-338-6211,"방음벽,가드레일",1559,496.7,35.86403798,128.94093163
617,,동방제유(주),남정○,경상북도 영천시 대전동 461번지,10412,식물성 유지 제조업 외 1 종,054-331-6353,"식물성유지, 참깨",2076,1199.2,35.98520636,128.91361747
618,,동보씨엔에스,윤미○,경상북도 영천시 청통면 신학리 28번지,13213,화학섬유직물 직조업,054-335-3101,화섬직물(커튼원단),5999,951.75,35.99342319,128.83542211
619,,동부산업,권정○,경상북도 영천시 채신동 143-1번지,22231,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",054-332-7385,"플리스틱 봉투, 포장용 봉투, 플라스틱 필름",996,541.2,35.90491675,128.95572744
620,,동서,김귀○,경상북도 영천시 도림동 851-9,22211,"플라스틱 선, 봉, 관 및 호스 제조업",054-338-0221,pvc파이프 관,9302,3138.3,36.01601689,128.93654260
621,,동서산업가스,손민○,경상북도 영천시 도남동 654,20121,수소 제조업 외 1 종,054-334-2600,"산업용가스(산소,질소,알곤,탄산,헬륨,고순도가스,혼합가스)",1569.3,1038.13,35.92602468,128.93652070
622,,동성산업,김정○,경상북도 영천시 봉동 822,22231,"플라스틱 포대, 봉투 및 유사제품 제조업",,친환경 포장비닐,2805.9,1101.07,35.92865478,128.94782525
623,,동아산업,지점○,경상북도 영천시 대창면 사리리 52-7번지 외 1필지,25119,기타 구조용 금속제품 제조업,054-0336-0952,조립식건축자재(판넬),2731,544.45,35.88374960,128.87535676
624,영천본촌농공단지,동아테크,이홍○,경상북도 영천시 본촌동 432번지,30399,그 외 자동차용 신품 부품 제조업,054-331-8056,자동차부품,8516.7,5511.54,35.92101784,128.95189416
625,,동양산업,이춘○,경상북도 영천시 대창면 사리리 524-5번지,13213,화학섬유직물 직조업,054-336-3551,화학섬유직물,1545,1002.96,35.88091589,128.86383407
626,영천화산농공단지,동양종합기계,왕혜○,경상북도 영천시 화산면 유성리 200-12,29210,농업 및 임업용 기계 제조업,054-335-5771,"가정용도정기, 농산물건조기",5100,2291.32,36.02063540,128.86153501
627,,동영산업,박희○,경상북도 영천시 채신동 588-1번지,38321,비금속류 해체 및 선별업 외 1 종,054-0335-3933,액반,3800,459.88,35.91465092,128.95169397
628,,동우당제약(주),허○,경상북도 영천시 임고면 효리 1041-12번지,10897,건강기능식품 제조업 외 3 종,054-332-8855,원료한약재,2238,921,36.02846301,129.00033560
629,영천고경농공단지,동원산업(주),최병○,경상북도 영천시 고경면 상리리 600-9번지,20132,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",054-0336-0998,합성수지,8373,2063.4,36.00569712,129.03050658
630,,동일금속(주),오길○,경상북도 영천시 금호읍 덕성리 327번지,24112,제강업 외 5 종,054-333-5501,"콘테이너부품,유압펌프,유압모터,유공압밸브,완충기",11946,6163.95,35.92788718,128.86229932
631,,동일금속(주)오계공장,오길○,경상북도 영천시 금호읍 오계리 58-17 번지 외 5필지,25924,절삭가공 및 유사처리업,054-333-5501,트랙슈(주장비부품-궤도),12239,3514.11,35.91319776,128.88881325
632,,동일금속(주)제3공장,오길○,경상북도 영천시 금호읍 덕성리 342번지 외 2필지,29241,건설 및 채광용 기계장비 제조업,054-333-5501,중장비부품,9193,2946.66,35.92749624,128.86108355
633,,동일바이오텍,이종○,경상북도 영천시 화산면 연계리 산 33-8,29210,농업 및 임업용 기계 제조업,,아쿠아포닉스 기기,4284,621.2,,
634,,동진미강,이진○,경상북도 영천시 도동 800-7번지 외 1필지,10512,곡물 제분업,054-331-3447,쌀눈,2100,420,35.93803206,128.93371476
635,,동진산업,박동○,경상북도 영천시 오수동 412-2번지,30399,그 외 자동차용 신품 부품 제조업,,브라켓,,400,35.95334113,128.91739959
636,,동해산업,박준○,경상북도 영천시 금호읍 신월리 101-2번지,16299,그 외 기타 나무제품 제조업,054-0336-2096,집제재,2073,320.57,35.93988621,128.90404338
637,,동해섬유,이재○,경상북도 영천시 대창면 사리리 447-1번지,13213,화학섬유직물 직조업,054-0336-0938,PALACE,1419,564.66,35.88212414,128.87226206
638,,동해소재(주),정기○,경상북도 영천시 고경면 동도리 322-2번지 외 1필지,23993,비금속광물 분쇄물 생산업,053-852-7744,분쇄된 벤토나이트,7183,3199.23,35.99952888,129.05934455
639,,동형폴리텍스,김경○,경상북도 영천시 임고면 매호리 896,13104,연사 및 가공사 제조업,,카바링연사 ,2928,887.4,36.00671619,128.96092124
640,영천화산농공단지,동화산업,황명○,경상북도 영천시 화산면 유성리 200-7번지,13104,연사 및 가공사 제조업 외 1 종,054-335-1395,"연사,싸이딩",7942,4910.97,36.01950886,128.86165759
641,,두래산업사,하상○,경상북도 영천시 금호읍 봉죽리 46번지,13224,"천막, 텐트 및 유사 제품 제조업 외 1 종",054-0335-2393,"포대용직물,타포린직물",3149,1271.5,35.94163334,128.92054945
642,영천고경농공단지,두레산업,조영○,경상북도 영천시 고경면 상리리 600-1번지,13213,화학섬유직물 직조업 외 1 종,054-336-6500,"스크린메쉬, 필터, 방진망, 방충망",3738,1258.92,36.00473558,129.02831268
643,,두리기업(주),김창○,경상북도 영천시 대창면 사리리 189-1번지 외 2필지,25122,금속탱크 및 저장용기 제조업 외 7 종,,저장텡크,3300,1463.94,35.87469250,128.88172836
644,,두리기업(주),김창○,경상북도 영천시 대창면 사리리 189-4번지,25122,금속탱크 및 저장용기 제조업 외 1 종,053-761-1553,저장탱크,3629,1184.52,35.87422783,128.88256617
645,영천고경농공단지,두산기계산업,홍재○,경상북도 영천시 고경면 상리리 600-2,29169,기타 물품 취급장비 제조업 외 1 종,,"호이스트크레인, 산업용리프트, 컨베이어",3732,1605.95,36.00443872,129.02842101
646,영천고경농공단지,두알산업(주),박종○,경상북도 영천시 고경면 상리리 600-5번지,25932,일반철물 제조업 외 2 종,054-0336-0600,"건축용 도어록, 전기",10199,4346.35,36.00432367,129.02954476
647,,드림산업(주),이성○,경상북도 영천시 청통면 우천리 371-3번지,17221,종이 포대 및 가방 제조업,054-333-1302,과일재배용봉지,658,330,35.98925107,128.87345717
648,,등진개발(주),김재○,경상북도 영천시 채신동 152-1번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,,마후라,14876,4676,35.90622137,128.95351792
649,,디에이치테크,김정○,경상북도 영천시 금호읍 신대리 325-205,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,,볼라드,,132,35.92349373,128.86774257
650,,디오텍스,정근○,경상북도 영천시 금호읍 신대리 333-4번지,13213,화학섬유직물 직조업,054-336-2646,폴리에스테르 원단,3402,1786.7,35.92423529,128.86749536
651,,디제이플라텍,박덕○,경상북도 영천시 대창면 구지리 195번지 외 2필지,22211,"플라스틱 선, 봉, 관 및 호스 제조업 외 5 종",054-338-9117,"연결구류,관,봉,자동차용 밧데리케이스 등",3870,998.45,35.86784846,128.89231967
652,,라산섬유,라인○,경상북도 영천시 대창면 사리리 424번지,13104,연사 및 가공사 제조업,054-0335-8345,연사제조,1707,617.65,35.88307265,128.87495067
653,,라온텍,김동○,경상북도 영천시 금호읍 오계리 46-8,20493,접착제 및 젤라틴 제조업,054-335-7796,분말바인더,3097,923.6,35.91684963,128.88531972
654,,라인메탈,김봉○,경상북도 영천시 채신동 629-4번지,29133,"탭, 밸브 및 유사장치 제조업",,"탭, 밸브",1932,996.08,35.91148161,128.94980992
655,,락셀코리아,전찬○,경상북도 영천시 오수동 95-1,29210,농업 및 임업용 기계 제조업 외 1 종,070-8691-0384,"말벌포획기, 액체자동소분기, 파워뱅크",598,416.77,35.95969107,128.91523176
656,,로얄푸드,김정○,경상북도 영천시 도남동 354,10832,천연 및 혼합조제 조미료 제조업 외 1 종,053-853-8966,"소스, 파우더, 염지제",1766,903.5,35.92942870,128.93536185
657,영천화산농공단지,리테크엔지니어링,권진○,경상북도 영천시 화산면 유성리 200-16번지,27213,"물질 검사, 측정 및 분석기구 제조업 외 4 종",054-335-7181,"수위계,유량계,자동제어반,농도계등",,324,36.02168299,128.86014350
658,,마이스터알브이,이정○,경상북도 영천시 청통면 송천리 473-5번지,30203,트레일러 및 세미트레일러 제조업,,캠핑트레일러,3506,644,35.97180529,128.81773383
659,,마이텍스,마진○,경상북도 영천시 청통면 우천리 630 번지 외 1필지,13104,연사 및 가공사 제조업,054-336-1468,폴리에스텔 가공사,4711,2058.02,35.98678674,128.87022765
660,,맥섬석지.엠(주),곽성○,경상북도 영천시 대창면 사리리 432번지,23221,가정용 및 장식용 도자기 제조업 외 9 종,054-336-6000,"원적외선세라믹, 보조사료첨가제, 비료",26345,5872.84,35.88045184,128.87272969
661,,머텍리소스,노재○,경상북도 영천시 금호읍 오계리 50-2 외 3필지,20499,그 외 기타 분류 안된 화학제품 제조업 외 2 종,054-336-8382,LCD세정제,1761,761.4,35.91354589,128.88824544
662,,명동산업,문성○,경상북도 영천시 청통면 보성리 538번지,13213,화학섬유직물 직조업,054-0335-9695,화섬직물,3131,1360.06,35.99283610,128.84524992
663,,명성그리드,김보○,경상북도 영천시 북안면 원당리 237 외 1필지,22212,플라스틱 필름 제조업 외 1 종,054-331-2239,지오그리드,2450,976.4,35.93559857,129.01304544
664,,명성산업,김옥○,경상북도 영천시 북안면 반계리 144번지 공장,23993,비금속광물 분쇄물 생산업 외 3 종,,"제오라이트(분말),고령토(분말),백반석(분말)",4516,1128.95,35.92757495,129.00794332
665,,명원전력산업,이명○,경상북도 영천시 오미동 1121-1번지 외 1필지 외 1필지,22241,운송장비 조립용 플라스틱제품 제조업 외 1 종,,"MCC박스,MFB판넬",2463,491.75,,
666,,명진RND,이치○,경상북도 영천시 대창면 사리리 717-1번지,24212,"알루미늄 제련, 정련 및 합금 제조업",054-337-7135,알루미늄합금,4160,957.21,35.87068739,128.86527601
667,,명진포장주식회사,윤봉○,경상북도 영천시 채신동 69-1,17222,판지 상자 및 용기 제조업,054-331-8270,골판지상자,12419,3904.1,35.90929266,128.96277606
668,,문성섬유,이종○,경상북도 영천시 화산면 용평리 228-1번지 외 1필지,13104,연사 및 가공사 제조업,054-0335-4565,연사,1439,494.68,,
669,,미라보문구공업사,손중○,경상북도 영천시 대창면 사리리 524번지,33920,사무 및 회화용품 제조업,054-0335-8292,연필,1400,1510.96,35.88128560,128.86357357
670,,미래신소재G.R.P,최임○,경상북도 영천시 임고면 매호리 856,22211,"플라스틱 선, 봉, 관 및 호스 제조업",,전선용관,,208,36.00197440,128.96393673
671,,미래사무용가구,남양○,경상북도 영천시 대창면 대창리 59번지,32029,기타 목재가구 제조업,,가구,2231,702.88,35.88883765,128.88882657
672,,미래신합섬(주),김호○,경상북도 영천시 금호읍 오계리 56-27번지 (주)보미산,13104,연사 및 가공사 제조업,053-856-2078,복합연사 제품,958,489.2,35.91509684,128.89065566
673,,미래테크,배광○,경상북도 영천시 도남동 547-2,25924,절삭가공 및 유사처리업,054-338-6005,"자동차부품(샤프트, 베어링, 모터커버)",1630,566.2,35.92895990,128.93427957
674,,미송조경,전은○외1인,경상북도 영천시 대창면 강회리 445번지,16229,기타 건축용 나무제품 제조업 외 2 종,054-338-6993,조경시설물(정자.파고라 등),2584,763.4,35.89711885,128.88396649
675,,바이오소재산업,박영○,경상북도 영천시 북안면 송포리 338-4번지,30399,그 외 자동차용 신품 부품 제조업 외 9 종,054-332-4338,"자동차용차음재,주방 및 가정용세척브러쉬",4039,975,35.94274887,128.97915845
676,,바이오피드주식회사,박철○,경상북도 영천시 고경면 용전리 1318번지 외 1필지,10901,반려동물용 사료 제조업 외 2 종,054-336-8485,"단미사료, 호마박",3307,2115.66,35.98864123,129.02259717
677,,반도테크,이형○,경상북도 영천시 대창면 대창리 899-6번지,29169,기타 물품 취급장비 제조업,,호이스트,4660,1092.55,35.87521253,128.88551181
678,영천북안농공단지,반정,"노성○,외1인",경상북도 영천시 북안면 반정리 150 (주)대남,25119,기타 구조용 금속제품 제조업,,철구조물,14171,7448.4,35.93436845,128.99705680
679,,백산산업(주),이순○,경상북도 영천시 대창면 대창리 43번지,30320,자동차 차체용 신품 부품 제조업 외 1 종,054-0336-2877,"쇼바,소음기",4296,1288.32,35.89112637,128.88932931
680,,백석이앤아이(주),백승○,경상북도 영천시 금호읍 남성리 18번지,27199,그 외 기타 의료용 기기 제조업 외 2 종,,"휠체어 리프트, 휠체어 경사로, 모듈형 무대용 휠체어 경사로, 무대하부 수납 시스템",,315,35.90468046,128.87682002
681,,버섯마을,강동○,경상북도 영천시 대전동 568-7번지,10832,천연 및 혼합조제 조미료 제조업 외 1 종,054-333-5361,"각종 버섯혼합조제조미료 및 버섯농축물,엑기스 등",2569,859.59,35.98252174,128.91101971
682,,벽산창호도아,남화○,경상북도 영천시 대창면 대창리 939-2번지 외 1필지,25111,"금속 문, 창, 셔터 및 관련제품 제조업",054-335-4140,샤시도어,925,168,35.87486416,128.88965011
683,,별다믄영농조합법인,조영○,경상북도 영천시 임고면 평천리 416-5번지 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,054-336-3655,과일주스,2484,786.1,36.03369210,128.97698522
684,,별빛의자,홍성○,경상북도 영천시 망정동 8-13 외 1필지,32091,금속 가구 제조업,054-338-0235,금속제 의자,,661.157,35.98480260,128.95991382
685,,별빛촌산삼배양영농조합법인,한민○,경상북도 영천시 도동 272-3번지,10899,그 외 기타 식료품 제조업,054-338-9933,한약액기스,1517,434.58,35.94191223,128.92829510
686,,보경정경,이재○,경상북도 영천시 북안면 신리리 542-4 외 2필지,13104,연사 및 가공사 제조업,,연사,3351,1691.06,35.88683641,129.00806545
687,,보광섬유(주),이윤○,경상북도 영천시 금호읍 신월리 214-4번지,13213,화학섬유직물 직조업,054-0334-7111,화섬직물,3645,2171.54,,
688,,보구자동화,신근○,경상북도 영천시 청통면 송천리 267-1번지 외 1필지,29210,농업 및 임업용 기계 제조업 외 1 종,054-332-7750,병버섯 기계시스템(자동화),4246,1715.65,35.98177661,128.81763209
689,,보성,조동○,경상북도 영천시 청통면 보성리 320번지,25929,그 외 기타 금속가공업,,"산업,건설용 케이스 등",1016,396.4,36.00105325,128.84902495
690,,보성연사,김○,경상북도 영천시 대창면 사리리 524-4번지,13104,연사 및 가공사 제조업,054-0336-7052,합연사,1542,992.06,35.88096462,128.86336729
691,,보현산청정약초영농조합법인,전선○,경상북도 영천시 임고면 매호리 157번지,10892,차류 가공업,054-333-8083,"쌍화차분말,고명",1678,655.25,36.00463342,128.96846379
692,,봉천섬유,서임○,경상북도 영천시 청통면 보성리 544-2번지,13219,특수 직물 및 기타 직물 직조업,054-331-4970,"폴리에스테르,연사",1884,1036,35.99447671,128.84624511
693,,부림테크,남혜○,경상북도 영천시 금호읍 오계리 38-3,25113,육상 금속 골조 구조재 제조업 외 3 종,054-336-9645,"골조브라켓, 금속브라켓, 자동차용커버, 태양광용브라켓",3990,2193,35.91516725,128.88655408
694,,부부토기,강준○,경상북도 영천시 화남면 금호리 461-1번지 외 1필지,23221,가정용 및 장식용 도자기 제조업,054-0337-4804,토기제품,701,305.8,36.07503760,128.90645379
695,,부산수지,정봉○,경상북도 영천시 오수동 409-17번지 외 1필지,38321,비금속류 해체 및 선별업 외 1 종,054-334-9652,합성수지재생원료,1315,555,35.95351714,128.91910823
696,,부영ENG,함영○,경상북도 영천시 금호읍 원기리 136-3번지,29250,음ㆍ식료품 및 담배 가공기계 제조업 외 1 종,,"추출기,농업용난방보일러",800,456.76,35.91142766,128.88668129
697,,부영연사,위재○,경상북도 영천시 청통면 계포리 258-3,13104,연사 및 가공사 제조업,054-335-6711,연사제품,818,422.6,35.99806117,128.81670128
698,,부흥섬유,이정○,경상북도 영천시 청통면 대평리 685번지,13104,연사 및 가공사 제조업,054-331-9490,폴리에스텔임가공,1551,947.82,35.96571800,128.86335982
699,,산과보롬,김강○,경상북도 영천시 금호읍 교대리 107-20,10603,과자류 및 코코아 제품 제조업,054-336-7778,빈투바초콜릿,238,100,35.93375744,128.87155061
700,,산호피엔엘(주)영천지점,최은○,경상북도 영천시 북안면 원당리 255번지 외 5필지,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,054-336-8888,철제파렛트,9024,3578.92,35.93369707,129.01143854
701,,삼광자전거(주),이진○,경상북도 영천시 청통면 신학리 507번지 외 5필지,31991,자전거 및 환자용 차량 제조업,054-336-6336,자전거,15105,4421.96,35.99742601,128.82068745
702,,삼녕영농조합법인,권태○,경상북도 영천시 신녕면 화남리 1360번지,20312,복합비료 및 기타 화학비료 제조업 외 1 종,054-332-1766,유기질비료,3454,1598,36.08375929,128.74945853
703,,삼성곡물주식회사,김준○,경상북도 영천시 화남면 삼창리 827번지,10511,곡물 도정업,,"각종 곡물도정,정미,압맥 곡물생산",3817,821,36.06284018,128.88826045
704,,삼성직물(주),정연○,경상북도 영천시 대창면 사리리 447-6번지,13213,화학섬유직물 직조업,054-336-5885,폴리에스텔,1841,1081,35.88196898,128.87202757
705,,삼성테크주식회사,김수○,경상북도 영천시 금호읍 오계리 46-11 B동,29299,그 외 기타 특수목적용 기계 제조업,053-859-5026,골판지상자 관련 자동화 기계,,518.4,35.91611204,128.88700016
706,,삼성포장(주),권용○,경상북도 영천시 금호읍 삼호리 90번지 외 4필지,17211,골판지 제조업 외 1 종,053-851-0655,골판지 상자,17847,7383,35.91598729,128.88263130
707,,삼송식품,박동○,경상북도 영천시 금호읍 봉죽리 57번지 외 2필지,10701,도시락류 제조업 외 1 종,,만두,1104,609.64,35.94086210,128.92011888
708,,삼양연마공업(주),"손기○,손동○",경상북도 영천시 봉동 754-1번지,23992,연마재 제조업,054-335-7840,연마지석,6918,4524,35.93767352,128.93893781
709,영천본촌농공단지,삼양연마공업(주)분공장,손동○,경상북도 영천시 본촌동 433 외 1필지,23992,연마재 제조업,054-335-7840,연마재,15036.2,10084.75,35.92140953,128.95262911
710,,삼양환경산업(주),정의○,경상북도 영천시 도남동 213-1번지,20129,기타 기초 무기 화학물질 제조업 외 3 종,054-336-2072,"액체.고체황산알루미늄,탈취제",2614.2,733.12,35.92934742,128.93843953
711,영천도남농공단지,삼영화섬(주),전헌○,경상북도 영천시 봉동 592-1번지,20502,재생섬유 제조업 외 1 종,054-0335-9797,"재생섬유,인조잔디",4828.1,2787.77,35.93039191,128.94545500
712,,삼일영농조합법인,박일○,경상북도 영천시 화남면 신호리 48 외 1필지,10309,기타 과실ㆍ채소 가공 및 저장 처리업,054-333-3136, 건강(과일즙 등) 음료,3775,1769.75,36.03755059,128.93960536
